city;city_ibge_code;confirmed;confirmed_per_100k_inhabitants;date;death_rate;deaths;estimated_population_2019;is_last;order_for_place;place_type;state
Abaeté;3100203;1;4,30348;2020-04-14;;0;23237,0;True;3;city;MG
Alfenas;3101607;1;1,25006;2020-04-14;;0;79996,0;True;15;city;MG
Alpercata;3101805;1;13,46983;2020-04-14;;0;7424,0;True;7;city;MG
Araguari;3103504;7;5,96928;2020-04-14;;0;117267,0;True;14;city;MG
Araxá;3104007;1;0,94136;2020-04-14;;0;106229,0;True;1;city;MG
Arcos;3104205;4;9,97705;2020-04-14;;0;40092,0;True;13;city;MG
Barbacena;3105608;2;1,45653;2020-04-14;;0;137313,0;True;13;city;MG
Belo Horizonte;3106200;373;14,84831;2020-04-14;0,0161;6;2512070,0;True;29;city;MG
Betim;3106705;9;2,04853;2020-04-14;;0;439340,0;True;23;city;MG
Boa Esperança;3107109;3;7,47626;2020-04-14;;0;40127,0;True;20;city;MG
Bom Despacho;3107406;1;1,97609;2020-04-14;;0;50605,0;True;23;city;MG
Bonfim;3108107;1;14,56028;2020-04-14;;0;6868,0;True;3;city;MG
Borda da Mata;3108305;2;10,30291;2020-04-14;;0;19412,0;True;6;city;MG
Botelhos;3108404;1;6,67958;2020-04-14;;0;14971,0;True;8;city;MG
Cambuí;3110608;5;16,9199;2020-04-14;;0;29551,0;True;9;city;MG
Cambuquira;3110707;1;7,80396;2020-04-14;;0;12814,0;True;4;city;MG
Campo Belo;3111200;2;3,70172;2020-04-14;;0;54029,0;True;19;city;MG
Campos Altos;3111507;1;6,46789;2020-04-14;;0;15461,0;True;23;city;MG
Campos Gerais;3111606;1;3,47536;2020-04-14;;0;28774,0;True;3;city;MG
Capitólio;3112802;1;11,5848;2020-04-14;;0;8632,0;True;14;city;MG
Carangola;3113305;1;3,0303;2020-04-14;;0;33000,0;True;7;city;MG
Carmo da Cachoeira;3113909;1;8,21693;2020-04-14;;0;12170,0;True;11;city;MG
Carmo do Cajuru;3114204;2;8,89759;2020-04-14;;0;22478,0;True;19;city;MG
Cataguases;3115300;1;1,33115;2020-04-14;;0;75123,0;True;1;city;MG
Centralina;3115805;1;9,66184;2020-04-14;;0;10350,0;True;9;city;MG
Conceição das Alagoas;3117306;2;7,17026;2020-04-14;;0;27893,0;True;4;city;MG
Contagem;3118601;19;2,86207;2020-04-14;;0;663855,0;True;23;city;MG
Coronel Fabriciano;3119401;3;2,73087;2020-04-14;;0;109855,0;True;28;city;MG
Divinésia;3121902;1;29,26544;2020-04-14;;0;3417,0;True;9;city;MG
Divinópolis;3122306;31;13,01263;2020-04-14;0,0323;1;238230,0;True;36;city;MG
Esmeraldas;3124104;1;1,41739;2020-04-14;;0;70552,0;True;12;city;MG
Espinosa;3124302;0;;2020-04-14;;0;31617,0;True;3;city;MG
Extrema;3125101;5;13,80262;2020-04-14;;0;36225,0;True;17;city;MG
Ferros;3125903;3;30,5499;2020-04-14;;0;9820,0;True;4;city;MG
Formiga;3126109;0;;2020-04-14;;0;67683,0;True;9;city;MG
Frutal;3127107;2;3,36157;2020-04-14;;0;59496,0;True;9;city;MG
Goianá;3127388;1;25,21432;2020-04-14;;0;3966,0;True;1;city;MG
Governador Valadares;3127701;5;1,78645;2020-04-14;0,4;2;279885,0;True;20;city;MG
Guaranésia;3128303;1;5,25735;2020-04-14;;0;19021,0;True;1;city;MG
Guimarânia;3128907;1;12,43936;2020-04-14;;0;8039,0;True;19;city;MG
Ibirité;3129806;2;1,10985;2020-04-14;;0;180204,0;True;4;city;MG
Importados/Indefinidos;;10;;2020-04-14;;0;;True;24;city;MG
Ipaba;3131158;2;10,74864;2020-04-14;;0;18607,0;True;7;city;MG
Ipatinga;3131307;6;2,27782;2020-04-14;;0;263410,0;True;32;city;MG
Ipuiúna;3131505;1;9,92162;2020-04-14;;0;10079,0;True;4;city;MG
Itabira;3131703;2;1,66583;2020-04-14;0,5;1;120060,0;True;12;city;MG
Itajubá;3132404;2;2,06464;2020-04-14;;0;96869,0;True;5;city;MG
Itanhandu;3133105;1;6,52273;2020-04-14;;0;15331,0;True;6;city;MG
Itapecerica;3133501;2;9,19033;2020-04-14;;0;21762,0;True;5;city;MG
Itapeva;3133600;1;10,22181;2020-04-14;;0;9783,0;True;8;city;MG
Ituiutaba;3134202;1;0,95537;2020-04-14;;0;104671,0;True;4;city;MG
Jaboticatubas;3134608;1;4,9645;2020-04-14;;0;20143,0;True;4;city;MG
Janaúba;3135100;2;2,79142;2020-04-14;;0;71648,0;True;10;city;MG
Jeceaba;3135407;1;20,35831;2020-04-14;;0;4912,0;True;9;city;MG
João Monlevade;3136207;1;1,25141;2020-04-14;;0;79910,0;True;6;city;MG
Juiz de Fora;3136702;76;13,35975;2020-04-14;0,0263;2;568873,0;True;30;city;MG
Lagoa da Prata;3137205;14;26,83792;2020-04-14;;0;52165,0;True;23;city;MG
Lavras;3138203;4;3,85457;2020-04-14;;0;103773,0;True;14;city;MG
Machado;3139003;2;4,74687;2020-04-14;;0;42133,0;True;9;city;MG
Manhuaçu;3139409;2;2,21658;2020-04-14;;0;90229,0;True;16;city;MG
Mariana;3140001;3;4,94039;2020-04-14;0,3333;1;60724,0;True;25;city;MG
Mário Campos;3140159;1;6,48677;2020-04-14;;0;15416,0;True;6;city;MG
Marliéria;3140308;1;24,7586;2020-04-14;;0;4039,0;True;3;city;MG
Matias Barbosa;3140803;1;6,91181;2020-04-14;;0;14468,0;True;1;city;MG
Matozinhos;3141108;1;2,6441;2020-04-14;;0;37820,0;True;9;city;MG
Monte Carmelo;3143104;4;8,36663;2020-04-14;;0;47809,0;True;4;city;MG
Montes Claros;3143302;1;0,2443;2020-04-14;1,0;1;409341,0;True;9;city;MG
Muriaé;3143906;4;3,67772;2020-04-14;;0;108763,0;True;17;city;MG
Nanuque;3144300;2;4,90798;2020-04-14;;0;40750,0;True;11;city;MG
Nova Lima;3144805;44;46,36997;2020-04-14;;0;94889,0;True;28;city;MG
Nova Serrana;3145208;1;0,97378;2020-04-14;;0;102693,0;True;3;city;MG
Ouro Fino;3146008;1;2,97274;2020-04-14;1,0;1;33639,0;True;9;city;MG
Paracatu;3147006;1;1,07345;2020-04-14;;0;93158,0;True;10;city;MG
Pará de Minas;3147105;4;4,25672;2020-04-14;;0;93969,0;True;6;city;MG
Paraisópolis;3147303;4;18,97263;2020-04-14;0,5;2;21083,0;True;10;city;MG
Passos;3147907;1;0,872;2020-04-14;;0;114679,0;True;1;city;MG
Patos de Minas;3148004;6;3,93474;2020-04-14;0,1667;1;152488,0;True;11;city;MG
Patrocínio;3148103;7;7,7129;2020-04-14;0,1429;1;90757,0;True;30;city;MG
Perdões;3149903;1;4,67508;2020-04-14;;0;21390,0;True;3;city;MG
Pirapetinga;3151107;1;9,3006;2020-04-14;;0;10752,0;True;3;city;MG
Pirapora;3151206;1;1,77217;2020-04-14;;0;56428,0;True;5;city;MG
Piumhi;3151503;2;5,76518;2020-04-14;;0;34691,0;True;8;city;MG
Poços de Caldas;3151800;4;2,38953;2020-04-14;;0;167397,0;True;25;city;MG
Pouso Alegre;3152501;15;9,95111;2020-04-14;0,1333;2;150737,0;True;14;city;MG
Ribeirão das Neves;3154606;2;0,59727;2020-04-14;;0;334858,0;True;13;city;MG
Sabará;3156700;8;5,86751;2020-04-14;;0;136344,0;True;19;city;MG
Santa Luzia;3157807;3;1,36903;2020-04-14;;0;219134,0;True;17;city;MG
Santa Maria de Itabira;3158003;1;9,21914;2020-04-14;;0;10847,0;True;6;city;MG
Santana do Paraíso;3158953;1;2,88492;2020-04-14;;0;34663,0;True;13;city;MG
Santo Antônio do Monte;3160405;3;10,6221;2020-04-14;;0;28243,0;True;13;city;MG
São Brás do Suaçuí;3160900;1;26,75227;2020-04-14;;0;3738,0;True;4;city;MG
São Gotardo;3162104;1;2,81936;2020-04-14;;0;35469,0;True;4;city;MG
São João del Rei;3162500;3;3,3303;2020-04-14;;0;90082,0;True;20;city;MG
São João Nepomuceno;3162906;1;3,79348;2020-04-14;;0;26361,0;True;7;city;MG
São Lourenço;3163706;2;4,36196;2020-04-14;;0;45851,0;True;5;city;MG
