titulo;link;id
 As hospitals become overwhelmed with coronavirus, how do we decide who gets treatment? - 02:40 PM EDT;https://www.seattletimes.com/opinion/as-hospitals-become-overwhelmed-with-coronavirus-how-do-we-decide-who-gets-treatment/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all;seattletimes-com-opinion-as-hospitals-become-overwhelmed-with-coronav
 Mississippi State forward Reggie Perry enters NBA draft - 02:40 PM EDT;https://www.seattletimes.com/sports/mississippi-state-forward-reggie-perry-enters-nba-draft/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all;seattletimes-com-sports-mississippi-state-forward-reggie-perry-enters
 Gov. DeSantis, wife Casey announce birth of baby Mamie - 02:40 PM EDT;https://www.seattletimes.com/nation-world/nation/gov-desantis-wife-casey-announce-birth-of-baby-mamie/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all;seattletimes-com-nation-world-nation-gov-desantis-wife-casey-announce
 Florida officials seek arrest for pastor that violated rules - 02:40 PM EDT;https://www.seattletimes.com/seattle-news/health/florida-officials-seek-arrest-for-pastor-that-violated-rules/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all;seattletimes-com-seattle-news-health-florida-officials-seek-arrest-fo
 The Human Stories of the Coronavirus Pandemic - 02:39 PM EDT;https://www.nytimes.com/2020/03/30/us/coronavirus-world-news-updates.html;nytimes-com-2020-03-30-us-coronavirus-world-news-updates-html
 Devastated by war, Syria's Idlib braces for coronavirus - 02:38 PM EDT;https://www.dw.com/en/devastated-by-war-syria-s-idlib-braces-for-coronavirus/a-52960674?maca=en-rss-en-all-1573-rdf;dw-com-en-devastated-by-war-syria-s-idlib-braces-for-coronavirus-a-52
 Coronavirus and cruises: Companies extend operation suspensions during outbreak   - 02:38 PM EDT;https://www.foxnews.com/travel/coronavirus-cruises-companies-extend-operation-suspensions;foxnews-com-travel-coronavirus-cruises-companies-extend-operation-sus
 John Prine in stable condition after being hospitalized with coronavirus symptoms, his wife says - 02:38 PM EDT;https://www.foxnews.com/entertainment/john-prine-stable-condition-wife-says;foxnews-com-entertainment-john-prine-stable-condition-wife-says
 'They are leading us to catastrophe': Sweden's coronavirus stoicism begins to jar - 02:38 PM EDT;https://www.theguardian.com/world/2020/mar/30/catastrophe-sweden-coronavirus-stoicism-lockdown-europe;theguardian-com-world-2020-mar-30-catastrophe-sweden-coronavirus-stoi
 Locks down: buzzcuts become the coronavirus craze du jour - 02:38 PM EDT;https://www.theguardian.com/fashion/2020/mar/30/locks-down-shaving-hair-buzzcuts-coronavirus-craze;theguardian-com-fashion-2020-mar-30-locks-down-shaving-hair-buzzcuts-
 Shuttering of animal shelters prompts surge in pet fostering amid pandemic - 02:38 PM EDT;https://www.theguardian.com/us-news/2020/mar/30/foster-pets-coronavirus-animal-shelters-adoption;theguardian-com-us-news-2020-mar-30-foster-pets-coronavirus-animal-sh
 Amid concerns that startups could be left out of COVID-19 bailout, investors step up lobbying - 02:38 PM EDT;https://techcrunch.com/2020/03/30/amid-concerns-that-startups-could-be-left-out-of-covid-19-bailout-investors-step-up-lobbying/;techcrunch-com-2020-03-30-amid-concerns-that-startups-could-be-left-o
 Amazon warehouse workers are walking out and Whole Foods workers are striking - 02:37 PM EDT;https://techcrunch.com/2020/03/30/amazon-warehouse-whole-foods-workers-strike/;techcrunch-com-2020-03-30-amazon-warehouse-whole-foods-workers-strike
 The Fed: ‘I am scared of losing my income, my shop and my home’ — Texas executives worry about coronavirus - 02:37 PM EDT;http://www.marketwatch.com/news/story.asp?guid=%7B963F0490-7296-11EA-8EFB-FB9F4C732949%7D&siteid=rss&rss=1;http-marketwatch-com-news-story-asp-guid-7B963F0490-7296-11EA-8EFB-FB
 Read this contentious New Yorker interview with the lawyer who wrote the coronavirus paper Trump embraces - 02:37 PM EDT;https://boingboing.net/2020/03/30/read-this-contentious-new-york.html;boingboing-net-2020-03-30-read-this-contentious-new-york-html
 Tunisia has a problem with internalised Islamophobia - 02:36 PM EDT;https://www.aljazeera.com/indepth/opinion/tunisia-problem-internalised-islamophobia-200319112441557.html;aljazeera-com-indepth-opinion-tunisia-problem-internalised-islamophob
 Daniel Radcliffe and Erin Darke on Being the First Celebrity Coronavirus Hoax - 02:34 PM EDT;http://www.vulture.com/2020/03/daniel-radcliffe-erin-darke-on-being-the-first-corona-hoax.html?utm_source=flipboard.com&utm_medium=social_acct&utm_campaign=feed-part;http-vulture-com-2020-03-daniel-radcliffe-erin-darke-on-being-the-fir
 Century-old tuberculosis vaccine eyed in fight against coronavirus - 02:33 PM EDT;https://nypost.com/2020/03/30/century-old-tuberculosis-vaccine-eyed-in-fight-against-coronavirus/;nypost-com-2020-03-30-century-old-tuberculosis-vaccine-eyed-in-fight-
