titulo;link;id
 Trump Condemns New York for Planning Ahead on Coronavirus - 02:16 PM EDT;http://nymag.com/intelligencer/2020/03/coronavirus-trump-new-york-ventilators-cuomo.html?utm_source=flipboard.com&utm_medium=social_acct&utm_campaign=feed-part;http-nymag-com-intelligencer-2020-03-coronavirus-trump-new-york-venti
 Covid-19: ex-supreme court judge lambasts 'disgraceful' policing - 02:15 PM EDT;https://www.theguardian.com/world/2020/mar/30/covid-19-ex-supreme-court-judge-lambasts-disgraceful-policing;theguardian-com-world-2020-mar-30-covid-19-ex-supreme-court-judge-lam
 UK announces £75m airlift plan to rescue Britons stranded abroad - 02:15 PM EDT;https://www.theguardian.com/world/2020/mar/30/uk-announces-75m-airlift-plan-to-rescue-britons-stranded-abroad;theguardian-com-world-2020-mar-30-uk-announces-75m-airlift-plan-to-re
 ICE Detainees With HIV Are Pleading to Be Released to Avoid Coronavirus - 02:15 PM EDT;https://www.vice.com/en_us/article/pke4xb/ice-detainees-hiv-release-coronav;vice-com-en_us-article-pke4xb-ice-detainees-hiv-release-coronav
 Coronavirus Live: Global Coverage - 02:15 PM EDT;https://www.nytimes.com/2020/03/30/us/coronavirus-world-news-updates.html;nytimes-com-2020-03-30-us-coronavirus-world-news-updates-html
 Trump approves state request for upfront Illinois National Guard funding - 02:14 PM EDT;https://www.chicagotribune.com/coronavirus/ct-coronavirus-illinois-national-guard-funding-20200330-fi5dhocitvftrly4d2umji6gjq-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/breaking/;chicagotribune-com-coronavirus-ct-coronavirus-illinois-national-guard
 Coronavirus pandemic leads to extension of Chicago Police Department reform deadlines - 02:14 PM EDT;https://www.chicagotribune.com/news/ct-coronavirus-chicago-police-consent-decree-delayed-20200330-i27lvephljbuzitouq66m2sxka-story.html#ed=rss_www.chicagotribune.com/arcio/rss/category/news/breaking/;chicagotribune-com-news-ct-coronavirus-chicago-police-consent-decree-
 Things Go Off the Rails Quickly When a Father Lets His Daughter Cut His Hair at Home - 02:14 PM EDT;https://time.com/5812614/home-haircut-coronavirus/;time-com-5812614-home-haircut-coronavirus-
 We Must Act Now to Protect America’s Most Vulnerable from Coronavirus - 02:14 PM EDT;https://time.com/5812616/protect-americas-vulnerable-coronavirus/;time-com-5812616-protect-americas-vulnerable-coronavirus-
 Miami-Dade halts construction inspections after COVID-19 spreads at permit center - 02:13 PM EDT;https://www.miamiherald.com/news/coronavirus/article241618216.html#storylink=rss;miamiherald-com-news-coronavirus-article241618216-html-storylink-rss
 Coronavirus pandemic has Miami staying home. That’s good news for some shelter dogs - 02:13 PM EDT;https://www.miamiherald.com/news/coronavirus/article241621291.html#storylink=rss;miamiherald-com-news-coronavirus-article241621291-html-storylink-rss
 Hillsborough pastor facing arrest for holding church services despite COVID-19 orders - 02:13 PM EDT;https://www.miamiherald.com/news/coronavirus/article241623496.html#storylink=rss;miamiherald-com-news-coronavirus-article241623496-html-storylink-rss
 COVID-19 has cut air pollution in some countries—but will this blip make a difference? - 02:13 PM EDT;https://www.popsci.com/story/environment/covid-19-coronavirus-emissions-pollution/;popsci-com-story-environment-covid-19-coronavirus-emissions-pollution
 Why Are the Mainstream Media Ignoring Tara Reade's Sexual Assault Accusation Against Joe Biden? - 02:13 PM EDT;https://reason.com/2020/03/30/joe-biden-tara-reade-sexual-assault-media/;reason-com-2020-03-30-joe-biden-tara-reade-sexual-assault-media-
" UK's Johnson ""full of vigor"", top adviser self-isolates - 02:12 PM EDT";https://www.reuters.com/article/us-health-coronavirus-britain-cummings/uks-johnson-full-of-vigor-top-adviser-self-isolates-idUSKBN21H15K?feedType=RSS&feedName=topNews;reuters-com-article-us-health-coronavirus-britain-cummings-uks-johnso
 Medical Companies Win Approval for Rapid Coronavirus Tests - 02:12 PM EDT;https://www.wsj.com/articles/medical-companies-win-approval-for-rapid-coronavirus-tests-11585586147?mod=pls_whats_news_us_business_f;wsj-com-articles-medical-companies-win-approval-for-rapid-coronavirus
