titulo;link;id
 Top Moscow Doctor Tests Positive for Coronavirus After Shaking Putin's Hand - 01:59 PM EDT;https://www.breitbart.com/national-security/2020/04/01/top-moscow-doctor-tests-positive-coronavirus-after-shaking-putins-hand/;breitbart-com-national-security-2020-04-01-top-moscow-doctor-tests-po
 Jeff Landry: ‘If You Want to Lay Blame’ for Coronavirus, ‘Point Fingers at China’ - 01:59 PM EDT;https://www.breitbart.com/radio/2020/04/01/jeff-landry-defeat-coronavirus-with-made-in-america-solutions/;breitbart-com-radio-2020-04-01-jeff-landry-defeat-coronavirus-with-ma
 Gov. Ron DeSantis Issues 'Stay at Home' Order for All of Florida - 01:57 PM EDT;https://www.breitbart.com/politics/2020/04/01/gov-ron-desantis-issues-stay-at-home-order-for-florida/;breitbart-com-politics-2020-04-01-gov-ron-desantis-issues-stay-at-hom
 Economic Report: Big increase in jobless benefits to give millions of laid-off workers higher pay temporarily - 01:57 PM EDT;http://www.marketwatch.com/news/story.asp?guid=%7BA9FCCA8C-742E-11EA-8BD5-378253C2B750%7D&siteid=rss&rss=1;http-marketwatch-com-news-story-asp-guid-7BA9FCCA8C-742E-11EA-8BD5-37
 Here Are All the Movies Delayed Because of Coronavirus - 01:57 PM EDT;http://www.vulture.com/2020/04/here-are-all-the-movies-and-tv-shows-affected-by-coronavirus.html?utm_source=flipboard.com&utm_medium=social_acct&utm_campaign=feed-part;http-vulture-com-2020-04-here-are-all-the-movies-and-tv-shows-affecte
 At last, the right conversation about coronavirus - 01:55 PM EDT;https://www.foxnews.com/politics/at-last-the-right-conversation-about-coronavirus;foxnews-com-politics-at-last-the-right-conversation-about-coronavirus
 MSNBC treads water during jam-packed news quarter, fails to add viewers - 01:55 PM EDT;https://www.foxnews.com/media/msnbc-ratings-flat-first-quarter;foxnews-com-media-msnbc-ratings-flat-first-quarter
 Next HQ and three warehouses up for sale in virus-mitigation plan - 01:54 PM EDT;https://www.theguardian.com/business/2020/apr/01/next-hq-three-warehouses-sale-virus-mitigation-plan;theguardian-com-business-2020-apr-01-next-hq-three-warehouses-sale-vi
 Making a song and dance: the simple things that keep people going - 01:54 PM EDT;https://www.theguardian.com/world/2020/apr/01/making-a-song-and-dance-the-simple-things-that-keep-people-going;theguardian-com-world-2020-apr-01-making-a-song-and-dance-the-simple-
 Biden Says He Would Call Trump To Talk About A Coronavirus Strategy - 01:52 PM EDT;https://dailycaller.com/2020/04/01/biden-trump-talk-coronavirus-strategy/;dailycaller-com-2020-04-01-biden-trump-talk-coronavirus-strategy-
 Wildlife Is Taking Over Cities As People Stay Home During Coronavirus - 01:52 PM EDT;https://dailycaller.com/2020/04/01/animals-walking-streets-coronavirus-lockdown-world/;dailycaller-com-2020-04-01-animals-walking-streets-coronavirus-lockdo
 Grocery workers get a break: Target, Publix, Trader Joe’s among stores closing on Easter - 01:52 PM EDT;https://www.miamiherald.com/news/coronavirus/article241679821.html#storylink=rss;miamiherald-com-news-coronavirus-article241679821-html-storylink-rss
 Coronavirus FAQ: Do I have to pay my rent? Wear a mask? You asked, we have some answers - 01:52 PM EDT;https://www.miamiherald.com/news/coronavirus/article241675386.html#storylink=rss;miamiherald-com-news-coronavirus-article241675386-html-storylink-rss
 Pennsylvania governor to issue stay-at-home order for whole state: report - 01:52 PM EDT;https://thehill.com/homenews/state-watch/490612-pennsylvania-governor-issues-stay-at-home-order-for-whole-state-report;thehill-com-homenews-state-watch-490612-pennsylvania-governor-issues-
 Analysis: Coronavirus now third-leading cause of death in US - 01:52 PM EDT;https://thehill.com/homenews/news/490614-analysis-coronavirus-now-third-leading-cause-of-death-in-us;thehill-com-homenews-news-490614-analysis-coronavirus-now-third-leadi
 House Democrats push huge jobs project in wake of coronavirus - 01:52 PM EDT;https://thehill.com/homenews/house/490616-house-democrats-push-huge-jobs-project-in-wake-of-coronavirus;thehill-com-homenews-house-490616-house-democrats-push-huge-jobs-proj
 Exclusive - 'Things under control': how Europe sleepwalked into the coronavirus crisis - 01:52 PM EDT;https://www.reuters.com/article/us-health-coronavirus-eu-prevention-excl/exclusive-things-under-control-how-europe-sleepwalked-into-the-coronavirus-crisis-idUSKBN21J6FF?feedType=RSS&feedName=topNews;reuters-com-article-us-health-coronavirus-eu-prevention-excl-exclusiv
 28 University of Texas Students Test Positive for Coronavirus After Spring Break Trip - 01:52 PM EDT;https://www.breitbart.com/health/2020/04/01/28-university-of-texas-students-test-positive-for-coronavirus-after-spring-break-trip/;breitbart-com-health-2020-04-01-28-university-of-texas-students-test-
 Harvard Adopts 'Emergency Grading' System Demanded by Students - 01:52 PM EDT;https://www.breitbart.com/tech/2020/04/01/harvard-adopts-emergency-grading-system-demanded-by-students/;breitbart-com-tech-2020-04-01-harvard-adopts-emergency-grading-system
 Oregon Veteran Beats Coronavirus at 95 - 01:52 PM EDT;https://www.breitbart.com/politics/2020/03/31/oregon-veteran-beats-coronavirus-at-95/;breitbart-com-politics-2020-03-31-oregon-veteran-beats-coronavirus-at
 Lawyers set up free legal aid hotline in Texas for coronavirus-related issues - 01:52 PM EDT;https://www.chron.com/news/houston-texas/article/Lawyers-set-up-free-legal-aid-hotline-for-15171917.php;chron-com-news-houston-texas-article-Lawyers-set-up-free-legal-aid-ho
 US is on coronavirus trajectory similar to Italy, Mike Pence says - 01:52 PM EDT;https://www.smh.com.au/world/north-america/us-is-on-coronavirus-trajectory-similar-to-italy-mike-pence-says-20200402-p54g88.html?ref=rss&utm_medium=rss&utm_source=rss_feed;smh-com-au-world-north-america-us-is-on-coronavirus-trajectory-simila
 Coronavirus: Double-digit jobless rates loom in California - 01:52 PM EDT;https://www.mercurynews.com/2020/04/01/coronavirus-double-digit-jobless-rates-loom-california-economy-job-layoffs-tech-hotel-restaurant-retail/;mercurynews-com-2020-04-01-coronavirus-double-digit-jobless-rates-loo
 Coronavirus: Coast Guard says stricken ships must remain at sea - 01:52 PM EDT;https://www.mercurynews.com/2020/04/01/coronavirus-coast-guard-says-stricken-ships-must-remain-at-sea/;mercurynews-com-2020-04-01-coronavirus-coast-guard-says-stricken-ship
 I Recovered From COVID-19. But I Can’t Donate My Plasma Because I’m Gay. - 01:52 PM EDT;https://www.motherjones.com/politics/2020/04/covid-19-recovery-plasma-coronavirus-gay-blood-donation/;motherjones-com-politics-2020-04-covid-19-recovery-plasma-coronavirus
 The Science Behind A 14-Day Quarantine After Possible COVID-19 Exposure - 01:52 PM EDT;https://www.npr.org/sections/health-shots/2020/04/01/824903684/the-science-behind-a-14-day-quarantine-after-possible-covid-19-exposure?utm_medium=RSS&utm_campaign=news;npr-org-sections-health-shots-2020-04-01-824903684-the-science-behind
 Report: Sen. Kelly Loeffler Downplayed the Coronavirus, Simultaneously Invested In Maker of Protective Gear - 01:52 PM EDT;https://www.vanityfair.com/news/2020/04/kelly-loeffler-protective-gear-investment;vanityfair-com-news-2020-04-kelly-loeffler-protective-gear-investment
 This is the Volkswagen e-BULLI, an official electric bus restomod - 01:51 PM EDT;https://arstechnica.com/?p=1664945;arstechnica-com-p-1664945
 People with coronavirus may be most infectious in the first week of symptoms - 01:51 PM EDT;https://www.technologyreview.com/s/615432/people-with-coronavirus-may-be-most-infectious-in-the-first-week-of-symptoms/;technologyreview-com-s-615432-people-with-coronavirus-may-be-most-inf
 Coronavirus: Reinvented 'iron lung' technology could help save the NHS, say experts - 01:51 PM EDT;https://www.independent.co.uk/news/health/coronavirus-iron-lung-nhs-ventilation-papworth-a9440931.html;independent-co-uk-news-health-coronavirus-iron-lung-nhs-ventilation-p
 'We have a life and death situation': Trump lambasted for blaming slow coronavirus response on impeachment - 01:51 PM EDT;https://www.independent.co.uk/news/world/americas/us-politics/coronavirus-trump-impeachment-pandemic-us-pelosi-mitch-mcconnell-a9441136.html;independent-co-uk-news-world-americas-us-politics-coronavirus-trump-i
 Coronavirus patients most infectious in first week of symptoms, scientists find - 01:51 PM EDT;https://www.independent.co.uk/news/world/europe/coronavirus-infectious-how-long-contagious-days-week-symptoms-larynx-study-a9441076.html;independent-co-uk-news-world-europe-coronavirus-infectious-how-long-c
 Coronavirus update: US cases climb to 200,000, reports say - 01:51 PM EDT;https://www.independent.co.uk/news/world/americas/coronavirus-update-us-cases-how-many-map-states-trump-a9441201.html;independent-co-uk-news-world-americas-coronavirus-update-us-cases-how
 Coronavirus: A fifth of small businesses could go bust within a month - 01:51 PM EDT;https://www.independent.co.uk/news/business/news/coronavirus-small-businesses-collapse-bust-research-a9440771.html;independent-co-uk-news-business-news-coronavirus-small-businesses-col
 For Now, China Has Forgiven Russia for Rebuffing It Over the Coronavirus - 01:50 PM EDT;https://foreignpolicy.com/2020/04/01/china-russia-coronavirus-aid-forgiveness-diplomacy/;foreignpolicy-com-2020-04-01-china-russia-coronavirus-aid-forgiveness
 Man hid coronavirus symptoms to visit wife in maternity ward - 01:50 PM EDT;https://www.cbsnews.com/news/new-york-man-hid-coronavirus-symptoms-to-visit-wife-in-maternity-ward/;cbsnews-com-news-new-york-man-hid-coronavirus-symptoms-to-visit-wife-
 Georgia Mayor Cancels Social Distancing Order Despite State Having Almost 5,000 Coronavirus Cases - 01:50 PM EDT;https://www.newsweek.com/georgia-mayor-cancels-social-distancing-order-despite-state-having-almost-5000-coronavirus-cases-1495580?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution;newsweek-com-georgia-mayor-cancels-social-distancing-order-despite-st
 Coronavirus poses greatest risk for diabetes, lung and heart disease patients - 01:50 PM EDT;https://nypost.com/2020/04/01/coronavirus-poses-greatest-risk-for-diabetes-lung-and-heart-disease-patients/;nypost-com-2020-04-01-coronavirus-poses-greatest-risk-for-diabetes-lu
 Study reveals role asymptomatic kids may be playing in coronavirus spread - 01:50 PM EDT;https://nypost.com/2020/04/01/asymptomatic-kids-may-play-a-role-in-coronavirus-spread-study/;nypost-com-2020-04-01-asymptomatic-kids-may-play-a-role-in-coronaviru
 Kendrick Perkins has credit card denied after kids rack up $16,000 ‘Fortnite’ bill - 01:50 PM EDT;https://nypost.com/2020/04/01/kendrick-perkins-kids-rack-up-16000-fortnite-bill/;nypost-com-2020-04-01-kendrick-perkins-kids-rack-up-16000-fortnite-bi
 Inventors dream up new gadgets to fight coronavirus - 01:50 PM EDT;https://nypost.com/2020/04/01/mother-of-invention-the-new-gadgets-dreamt-up-to-fight-coronavirus/;nypost-com-2020-04-01-mother-of-invention-the-new-gadgets-dreamt-up-t
 Indonesia to open emergency coronavirus hospital on uninhabited island - 01:50 PM EDT;https://nypost.com/2020/04/01/indonesia-set-to-open-emergency-coronavirus-hospital-on-uninhabited-island/;nypost-com-2020-04-01-indonesia-set-to-open-emergency-coronavirus-hos
 Australians caught sending medical supplies to China face prison time - 01:50 PM EDT;https://nypost.com/2020/04/01/australians-caught-sending-face-masks-hand-sanitizer-to-china-face-prison-time/;nypost-com-2020-04-01-australians-caught-sending-face-masks-hand-sani
 NEW: Florida Governor Ron DeSantis issues statewide stay-at-home order - AP - 01:49 PM EDT;;
