city;city_ibge_code;confirmed;confirmed_per_100k_inhabitants;date;death_rate;deaths;estimated_population_2019;is_last;place_type;state
Macapá;1600303;4;0,79471;2020-03-28;;0,0;503327,0;True;city;AP
;16;4;0,47296;2020-03-28;;0,0;845731,0;True;state;AP
Belo Horizonte;3106200;129;5,13521;2020-03-28;;0,0;2512070,0;True;city;MG
Betim;3106705;4;0,91046;2020-03-28;;0,0;439340,0;True;city;MG
Boa Esperança;3107109;1;2,49209;2020-03-28;;0,0;40127,0;True;city;MG
Bom Despacho;3107406;1;1,97609;2020-03-28;;0,0;50605,0;True;city;MG
Campo Belo;3111200;1;1,85086;2020-03-28;;0,0;54029,0;True;city;MG
Campos Altos;3111507;1;6,46789;2020-03-28;;0,0;15461,0;True;city;MG
Carmo do Cajuru;3114204;1;4,44879;2020-03-28;;0,0;22478,0;True;city;MG
Contagem;3118601;4;0,60254;2020-03-28;;0,0;663855,0;True;city;MG
Coronel Fabriciano;3119401;1;0,91029;2020-03-28;;0,0;109855,0;True;city;MG
Divinópolis;3122306;5;2,09881;2020-03-28;;0,0;238230,0;True;city;MG
Governador Valadares;3127701;1;0,35729;2020-03-28;;0,0;279885,0;True;city;MG
Guimarânia;3128907;1;12,43936;2020-03-28;;0,0;8039,0;True;city;MG
Importados/Indefinidos;;3;;2020-03-28;;0,0;;True;city;MG
Ipatinga;3131307;1;0,37964;2020-03-28;;0,0;263410,0;True;city;MG
Juiz de Fora;3136702;11;1,93365;2020-03-28;;0,0;568873,0;True;city;MG
Lagoa da Prata;3137205;2;3,83399;2020-03-28;;0,0;52165,0;True;city;MG
Mariana;3140001;2;3,29359;2020-03-28;;0,0;60724,0;True;city;MG
Nova Lima;3144805;16;16,86181;2020-03-28;;0,0;94889,0;True;city;MG
Patrocínio;3148103;1;1,10184;2020-03-28;;0,0;90757,0;True;city;MG
Poços de Caldas;3151800;1;0,59738;2020-03-28;;0,0;167397,0;True;city;MG
Sabará;3156700;3;2,20032;2020-03-28;;0,0;136344,0;True;city;MG
São João del Rei;3162500;2;2,2202;2020-03-28;;0,0;90082,0;True;city;MG
Sete Lagoas;3167202;2;0,83459;2020-03-28;;0,0;239639,0;True;city;MG
Timóteo;3168705;1;1,11307;2020-03-28;;0,0;89842,0;True;city;MG
Uberaba;3170107;3;0,89879;2020-03-28;;0,0;333783,0;True;city;MG
Uberlândia;3170206;7;1,01258;2020-03-28;;0,0;691305,0;True;city;MG
;31;205;0,96841;2020-03-28;;0,0;21168791,0;True;state;MG
Campina Grande;2504009;2;0,48813;2020-03-28;;;409731,0;True;city;PB
Igaracy;2502607;1;16,34788;2020-03-28;;;6117,0;True;city;PB
João Pessoa;2507507;10;1,23607;2020-03-28;;;809015,0;True;city;PB
Sousa;2516201;1;1,44001;2020-03-28;;;69444,0;True;city;PB
;25;14;0,34842;2020-03-28;;;4018127,0;True;state;PB
Belo Jardim;2601706;1;1,30823;2020-03-28;;;76439,0;True;city;PE
Camaragibe;2603454;1;0,6336;2020-03-28;;;157828,0;True;city;PE
Caruaru;2604106;1;0,27692;2020-03-28;;;361118,0;True;city;PE
Fernando de Noronha;2605459;1;32,66906;2020-03-28;;;3061,0;True;city;PE
Goiana;2606200;1;1,25379;2020-03-28;;;79758,0;True;city;PE
Importados/Indefinidos;;5;;2020-03-28;0,2;1,0;;True;city;PE
Jaboatão dos Guararapes;2607901;5;0,71195;2020-03-28;;;702298,0;True;city;PE
Olinda;2609600;4;1,01916;2020-03-28;;;392482,0;True;city;PE
Petrolina;2611101;2;0,57283;2020-03-28;;;349145,0;True;city;PE
Recife;2611606;46;2,79512;2020-03-28;0,087;4,0;1645727,0;True;city;PE
São Lourenço da Mata;2613701;1;0,88316;2020-03-28;;;113230,0;True;city;PE
;26;68;0,71152;2020-03-28;0,0735;5,0;9557071,0;True;state;PE
Parnaíba;2207702;1;0,65326;2020-03-28;;;153078,0;True;city;PI
São José do Divino;2210052;1;18,70557;2020-03-28;1,0;1,0;5346,0;True;city;PI
Teresina;2211001;9;1,04065;2020-03-28;;;864845,0;True;city;PI
;22;11;0,33606;2020-03-28;0,0909;1,0;3273227,0;True;state;PI
Campo Largo;4104204;2;1,51513;2020-03-28;;0,0;132002,0;True;city;PR
Campo Mourão;4104303;2;2,10839;2020-03-28;;0,0;94859,0;True;city;PR
Cascavel;4104808;7;2,1312;2020-03-28;;0,0;328454,0;True;city;PR
Cianorte;4105508;7;8,47252;2020-03-28;;0,0;82620,0;True;city;PR
Colombo;4105805;1;0,4103;2020-03-28;;0,0;243726,0;True;city;PR
Curitiba;4106902;74;3,82804;2020-03-28;;0,0;1933105,0;True;city;PR
Faxinal;4107603;1;5,79677;2020-03-28;;0,0;17251,0;True;city;PR
Foz do Iguaçu;4108304;7;2,7076;2020-03-28;;0,0;258532,0;True;city;PR
Guaíra;4108809;2;6,03883;2020-03-28;;0,0;33119,0;True;city;PR
