noticias_filtradas
https://www.usatoday.com/story/news/health/2020/03/20/coronavirus-allergies-cold-flu-strep-these-differences/2882663001/
https://edition.cnn.com/2020/03/19/europe/spain-coronavirus-madrid-covid-intl/index.html
https://www.em.com.br/app/noticia/nacional/2020/02/27/interna_nacional,1124795/tudo-sobre-o-coronavirus-covid-19-da-origem-a-chegada-ao-brasil.shtml
