Regiao;Pais;Nome do veiculo;Link;Lingua
Africa;Africa do Sul;Sunday Times;https://www.timeslive.co.za/;ingles
Africa;Egito;Ahram;http://english.ahram.org.eg/;ingles
America do Norte;EUA;Bloomberg;https://www.bloomberg.com/;ingles
America do Norte;EUA;Cable News Network (CNN);https://edition.cnn.com/;ingles
America do Norte;EUA;Chicago Tribune;https://www.chicagotribune.com/;ingles
America do Norte;EUA;Forbes;https://www.forbes.com/;ingles
America do Norte;EUA;Houston Chronicle;https://www.houstonchronicle.com/;ingles
America do Norte;EUA;Los Angeles Times;https://www.latimes.com/;ingles
America do Norte;EUA;The New York Times;https://www.nytimes.com/;ingles
America do Norte;EUA;The Wall Street Journal;https://www.wsj.com/;ingles
America do Norte;EUA;The Washington Post;https://www.washingtonpost.com/;ingles
America do Norte;EUA;USA Today;https://www.usatoday.com/;ingles
America do Norte;EUA;Yahoo News;https://news.yahoo.com/;ingles
America do Norte;Canada;Canadian Broadcasting Corporation (CBC);https://www.cbc.ca/;ingles
America do Norte;Canada;The Globe and Mail;https://www.theglobeandmail.com/;ingles
America do Norte;Canada;GlobalNews;https://globalnews.ca/;ingles
America do Norte;Mexico;El Universal;https://www.eluniversal.com.mx/;espanhol
America do Sul;Argentina;Clarin;https://www.clarin.com/;espanhol
America do Sul;Argentina;La Nacion;https://www.lanacion.com.ar/;espanhol
America do Sul;Bolivia;El Diario;https://www.eldiario.net/;espanhol
America do Sul;Brasil;Folha de Sao Paulo;https://www.folha.uol.com.br/;portugues
America do Sul;Brasil;Estado de Sao Paulo;https://www.estadao.com.br/;portugues
America do Sul;Brasil;O Globo;https://oglobo.globo.com/;portugues
America do Sul;Brasil;G1;https://g1.globo.com/;portugues
America do Sul;Chile;El Mercurio;https://www.emol.com/;espanhol
America do Sul;Colombia;El Tiempo;https://www.eltiempo.com/;espanhol
America do Sul;Equador;El Comercio;https://www.elcomercio.com/;espanhol
America do Sul;Paraguai;ABC Color;https://www.abc.com.py/;espanhol
America do Sul;Peru;El Comercio;https://elcomercio.pe/;espanhol
America do Sul;Uruguai;El Pais;https://www.elpais.com.uy/;espanhol
Asia;Catar;Aljazeera;https://www.aljazeera.com/;ingles
Asia;India;The Times of India;https://timesofindia.indiatimes.com/;ingles
Asia;India;The Hindu;https://www.thehindu.com/;ingles
Asia;Israel;The Jerusalem Post;https://www.jpost.com/;ingles
Europa;Alemanha;Deutsche Welle;https://www.dw.com/en/;ingles
Europa;Alemanha;Die Welt;https://www.welt.de/;alemao
Europa;Alemanha;Die Zeit;https://www.zeit.de/;alemao
Europa;Alemanha;Frankfurter Allgemeine Zeitung;https://www.faz.net/;alemao
Europa;Alemanha;Suddeustche Seitung;https://www.sueddeutsche.de/;alemao
Europa;Espanha;ABC Madrid;https://www.abc.es/;espanhol
Europa;Espanha;El Pais;https://elpais.com/;espanhol
Europa;Espanha;El Mundo;https://www.elmundo.es/;espanhol
Europa;Franca;Agence France Press (AFP);https://www.afp.com/;frances
Europa;Franca;Le Figaro;https://www.lemonde.fr/;frances
Europa;Franca;Le Monde;https://www.lefigaro.fr/;frances
Europa;Inglaterra;British Broadcasting Corporation (BBC);https://www.bbc.com/;ingles
Europa;Inglaterra;Financial Times;https://www.ft.com/;ingles
Europa;Inglaterra;Reuters;https://www.reuters.com/;ingles
Europa;Inglaterra;The Daily Telegraph;https://www.telegraph.co.uk/;ingles
Europa;Inglaterra;The Guardian;https://www.theguardian.com/uk;ingles
Europa;Inglaterra;The Times;https://www.thetimes.co.uk/;ingles
Europa;Italia;Corriere Della Sera;https://www.corriere.it/;italiano
Europa;Italia;Il Messaggero;https://www.ilmessaggero.it/;italiano
Europa;Italia;La Repubblica;https://www.repubblica.it/;italiano
Europa;Noruega;Aftenposten;https://www.aftenposten.no/;noruegues
Europa;Paises Baixos;NRC Handelsblad;https://www.nrc.nl/;neerlandes
Europa;Portugal;Diario de Noticias;https://www.dn.pt/;portugues
Europa;Portugal;Expresso;https://expresso.pt/;portugues
Europa;Portugal;Observador;https://observador.pt/;portugues
Europa;Portugal;Publico;https://www.publico.pt/;portugues
Europa;Suecia;Dagens Nyheter;http://www.dn.se/;sueco
Europa;Suica;Neue Zurcher Zeitung;https://www.nzz.ch/;alemao
Oceania;Australia;The Sydney Morning Herald;https://www.smh.com.au/;ingles
Oceania;Nova Zelandia;The New Zealand Herald;https://www.nzherald.co.nz/;ingles
