titulo;link;id
 Dr. Osterholm: ‘We will all suffer’ without a real plan to combat coronavirus - 11:31 PM EDT;http://www.msnbc.com/the-last-word/watch/dr-osterholm-we-will-all-suffer-without-a-real-plan-to-combat-coronavirus-81316933650;http-msnbc-com-the-last-word-watch-dr-osterholm-we-will-all-suffer-wi
 NYC 911 calls hit record high during coronavirus crisis - 11:31 PM EDT;http://www.msnbc.com/the-last-word/watch/nyc-911-calls-hit-record-high-during-coronavirus-crisis-81316933662;http-msnbc-com-the-last-word-watch-nyc-911-calls-hit-record-high-duri
 Chester Zoo shows off elephants, penguins and tigers in Facebook Live virtual tour - 11:22 PM EDT;https://www.dailymail.co.uk/news/article-8161447/Chester-Zoo-shows-elephants-penguins-tigers-Facebook-Live-virtual-tour.html?ns_mchannel=rss&ito=1490&ns_campaign=1490;dailymail-co-uk-news-article-8161447-Chester-Zoo-shows-elephants-peng
 The travel companies doing their bit to lift our spirits amid coronavirus outbreak - 11:22 PM EDT;https://www.dailymail.co.uk/travel/travel_news/article-8161725/The-travel-companies-doing-bit-lift-spirits-amid-coronavirus-outbreak.html?ns_mchannel=rss&ito=1490&ns_campaign=1490;dailymail-co-uk-travel-travel_news-article-8161725-The-travel-compani
