titulo;link;id
 Barack Obama endorses Joe Biden for president - 12:05 PM EDT;https://www.vox.com/policy-and-politics/2020/4/14/21220560/barack-obama-endorses-joe-biden-for-president-2020;vox-com-policy-and-politics-2020-4-14-21220560-barack-obama-endorses-
 State Department leaked cables renew theories on origin of coronavirus - 12:05 PM EDT;https://www.foxnews.com/world/state-department-cables-coronavirus-origin-chinese-lab-bats;foxnews-com-world-state-department-cables-coronavirus-origin-chinese-
 Florida police, veterans group send off fallen vet as coronavirus puts military honors on hold - 12:05 PM EDT;https://www.foxnews.com/us/florida-police-veterans-funeral-coronavirus-military-honors;foxnews-com-us-florida-police-veterans-funeral-coronavirus-military-h
 Lives to Remember: Grocery store clerk Leilani Jordan - 12:05 PM EDT;https://www.cbsnews.com/video/lives-to-remember-grocery-store-clerk-leilani-jordan/;cbsnews-com-video-lives-to-remember-grocery-store-clerk-leilani-jorda
