titulo;link;id
 Virus reveals conflicting pressures in meatpacking plants - 11:14 AM EDT;https://www.rollcall.com/2020/04/14/virus-reveals-conflicting-pressures-in-meatpacking-plants/;rollcall-com-2020-04-14-virus-reveals-conflicting-pressures-in-meatpa
 Coronavirus updates: Bay Area county to require masks in public - 11:14 AM EDT;https://www.sfgate.com/bayarea/article/Coronavirus-updates-Peninsula-jails-releasing-15199336.php;sfgate-com-bayarea-article-Coronavirus-updates-Peninsula-jails-releas
 Letter: In New York, COVID-19 patients may be moved into tents - 11:13 AM EDT;https://www.mercurynews.com/2020/04/14/letter-in-new-york-covid-19-patients-may-be-moved-into-tents/;mercurynews-com-2020-04-14-letter-in-new-york-covid-19-patients-may-b
 IMF Warns Of Steepest Recession Since The Great Depression - 11:13 AM EDT;https://www.npr.org/sections/coronavirus-live-updates/2020/04/14/833995714/imf-warns-of-steepest-downturn-since-the-great-depression?utm_medium=RSS&utm_campaign=news;npr-org-sections-coronavirus-live-updates-2020-04-14-833995714-imf-wa
