titulo;link;id
 Geriatricians’ advice on what older adults need to do in coronavirus pandemic - 04:12 PM EDT;https://www.washingtonpost.com/national/health/geriatricians-advice-on-what-older-adults-need-to-do-in-coronavirus-pandemic/2020/03/27/8b1c5506-6dee-11ea-a3ec-70d7479d83f0_story.html?utm_source=rss&utm_medium=referral&utm_campaign=wp_national;washingtonpost-com-national-health-geriatricians-advice-on-what-older
 Two boys who had to cancel their birthday parties due to coronavirus treated to a parade by locals - 04:12 PM EDT;https://www.dailymail.co.uk/news/article-8162611/Two-boys-cancel-birthday-parties-coronavirus-treated-parade-locals.html?ns_mchannel=rss&ito=1490&ns_campaign=1490;dailymail-co-uk-news-article-8162611-Two-boys-cancel-birthday-parties
 'Grey's Anatomy' Season 16 to end early amid coronavirus pandemic - 04:11 PM EDT;https://www.foxnews.com/entertainment/greys-anatomy-season-16-to-end-early-amid-coronavirus-pandemic;foxnews-com-entertainment-greys-anatomy-season-16-to-end-early-amid-c
 UN donates 250,000 masks to New York to help with coronavirus crisis - 04:11 PM EDT;https://www.foxnews.com/politics/united-nations-donates-masks-new-york-coronavirus-crisis;foxnews-com-politics-united-nations-donates-masks-new-york-coronaviru
