titulo;link;id
 Italy coronavirus deaths rise by 889 in a day to 10,023 - 04:05 PM EDT;https://www.reuters.com/article/us-health-coronavirus-italy-tally/italy-coronavirus-deaths-rise-by-889-in-a-day-to-10023-idUSKBN21F0UF?feedType=RSS&feedName=topNews;reuters-com-article-us-health-coronavirus-italy-tally-italy-coronavir
" Italy coronavirus death toll surges past 10,000; lockdown extension likely - 04:05 PM EDT";https://www.reuters.com/article/us-health-coronavirus-italy/italy-coronavirus-death-toll-surges-past-10000-lockdown-extension-likely-idUSKBN21F0R5?feedType=RSS&feedName=topNews;reuters-com-article-us-health-coronavirus-italy-italy-coronavirus-dea
 Condom shortage looms as coronavirus shuts down production - 04:02 PM EDT;https://nypost.com/2020/03/28/condom-shortage-looms-as-coronavirus-shuts-down-production/;nypost-com-2020-03-28-condom-shortage-looms-as-coronavirus-shuts-down
 Trump sees off Navy’s hospital ship to NYC amid coronavirus crisis - 04:02 PM EDT;https://nypost.com/2020/03/28/trump-sees-off-navys-hospital-ship-to-nyc-amid-coronavirus-crisis/;nypost-com-2020-03-28-trump-sees-off-navys-hospital-ship-to-nyc-amid-
